"Consumido";"Concedido(Risc)";"Diferencia";"Forma de plazo (en dies)";"Fp. Real";"Morós"
401,24;0;401,24;0;7;0
;;;;;
1650,63;0;1650,63;0;0;0
;;;;;
195,6;6000;-5804,4;0;93;0
;;;;;
-12,17;6000;-6012,17;0;58;0
;;;;;
-116,81;3000;-3116,81;30;47;0
;;;;;
-172,53;0;-172,53;0;4;0
;;;;;
5,48;0;5,48;0;4;0
;;;;;
239,66;2000;-1760,34;50;;0
;;;;;
0;0;0;0;30;0
;;;;;
5865,21;4000;1865,21;80;90;0
;;;;;
18,04;0;18,04;0;1;0
;;;;;
395,28;0;395,28;0;7;0
;;;;;
14964,2;50000;-35035,8;90;73;0
;;;;;
1814,57;6000;-4185,43;50;49;0
;;;;;
292,02;6000;-5707,98;78;83;0
;;;;;
405,29;0;405,29;75;55;0
;;;;;
1685,81;12000;-10314,19;30;40;0
;;;;;
55,71;0;55,71;0;;0
;;;;;
812,64;15000;-14187,36;30;75;0
;;;;;
31,95;0;31,95;0;0;0
;;;;;
140,88;0;140,88;0;133;0
;;;;;
10287,38;6000;4287,38;60;113;0
;;;;;
50;0;50;0;3;0
;;;;;
345,24;0;345,24;0;40;0
;;;;;
128,55;0;128,55;0;72;0
;;;;;
321,5;0;321,5;0;17;0
;;;;;
7827,23;20000;-12172,77;30;32;0
;;;;;
64,7;0;64,7;0;0;0
;;;;;
433,18;8000;-7566,82;35;67;0
;;;;;
4156;17000;-12844;19;32;0
;;;;;
2213,59;0;2213,59;0;41;0
871,1;0;871,1;0;5;0
;;;;;
21460,86;0;21460,86;30;-25;0
;;;;;
0;0;0;0;95;0
;;;;;
12112,14;38000;-25887,86;100;112;0
;;;;;
18542,67;45000;-26457,33;90;50;0
;;;;;
1242,47;4000;-2757,53;40;58;0
;;;;;
308,99;0;308,99;0;2;0
;;;;;
150;0;150;0;4;0
;;;;;
3801,59;10000;-6198,41;40;48;0
;;;;;
1468,96;10000;-8531,04;0;109;0
;;;;;
325,13;0;325,13;88;78;0
;;;;;
3563,61;22000;-18436,39;60;59;0
;;;;;
24,27;0;24,27;0;1;0
;;;;;
0;0;0;0;0;0
;;;;;
3989,18;0;3989,18;30;-1;0
;;;;;
40,41;2000;-1959,59;30;52;0
;;;;;
6855,68;10000;-3144,32;30;45;0
;;;;;
136,59;0;136,59;0;;0
;;;;;
5278,7;0;5278,7;30;61;0
;;;;;
0;0;0;0;20;0
;;;;;
367,4;10000;-9632,6;60;70;0
;;;;;
2381,89;1000;1381,89;75;61;0
;;;;;
15815,42;5000;10815,42;89;59;1
;;;;;
1365,5;10000;-8634,5;30;66;0
;;;;;
130,05;0;130,05;0;1;0
;;;;;
778,8;6000;-5221,2;80;81;0
;;;;;
132,3;0;132,3;30;29;0
;;;;;
1310,33;0;1310,33;30;55;0
;;;;;
52,42;0;52,42;0;-5;0
;;;;;
25;10000;-9975;0;4;0
;;;;;
679,9;0;679,9;45;63;0
;;;;;
87,05;0;87,05;0;3;0
;;;;;
151,36;0;151,36;90;4;0
;;;;;
745,37;20000;-19254,63;55;30;0
;;;;;
146,53;0;146,53;0;17;0
;;;;;
153;0;153;0;;0
;;;;;
913,43;3000;-2086,57;30;41;0
;;;;;
123,9;10000;-9876,1;60;45;0
;;;;;
154,79;3000;-2845,21;30;;0
;;;;;
0,15;0;0,15;40;19;0
;;;;;
355,57;0;355,57;18;24;0
;;;;;
2739,43;0;2739,43;0;20;0
;;;;;
350,31;2500;-2149,69;30;37;0
;;;;;
11798,38;0;11798,38;25;104;0
;;;;;
-269,76;30000;-30269,76;60;60;0
;;;;;
361,4;0;361,4;0;-4;0
102,71;20000;-19897,29;0;61;0
;;;;;
516,87;0;516,87;0;72;0
;;;;;
123052,99;0;123052,99;30;111;0
;;;;;
162,83;2000;-1837,17;30;32;0
;;;;;
3962,07;10000;-6037,93;30;55;1
;;;;;
553,14;10000;-9446,86;30;24;0
;;;;;
0,01;0;0,01;0;0;0
;;;;;
173,91;0;173,91;30;14;0
;;;;;
-68,78;0;-68,78;30;30;0
;;;;;
2268,63;3500;-1231,37;30;54;0
;;;;;
0;0;0;30;;0
;;;;;
2448,72;0;2448,72;0;12;0
;;;;;
63,67;2000;-1936,33;75;;0
;;;;;
177;0;177;0;;0
;;;;;
176,72;0;176,72;0;1;0
;;;;;
-206,33;0;-206,33;30;30;0
;;;;;
637,63;0;637,63;18;32;0
;;;;;
1205,64;18000;-16794,36;0;15;0
;;;;;
3523,48;2000;1523,48;85;63;0
;;;;;
2158,95;2500;-341,05;30;;0
;;;;;
600,02;0;600,02;0;11;0
;;;;;
432,08;50000;-49567,92;90;91;0
;;;;;
15246,83;0;15246,83;90;202;0
;;;;;
-22,55;10000;-10022,55;50;49;0
;;;;;
-8,99;0;-8,99;0;0;0
;;;;;
2030,88;0;2030,88;0;104;1
;;;;;
77,48;10000;-9922,52;55;56;0
;;;;;
704,27;0;704,27;0;7;0
;;;;;
14,16;0;14,16;0;0;0
;;;;;
144,37;0;144,37;0;87;0
;;;;;
0;0;0;0;;0
;;;;;
57,35;0;57,35;0;3;0
;;;;;
4000;0;4000;0;58;0
;;;;;
95,67;15000;-14904,33;0;7;0
;;;;;
191,76;0;191,76;0;1;0
;;;;;
1914,39;6000;-4085,61;55;82;0
;;;;;
335,76;0;335,76;0;4;0
;;;;;
1000;0;1000;0;38;0
;;;;;
473,53;10000;-9526,47;30;0;0
;;;;;
0;0;0;0;0;0
;;;;;
