Consumido;Concedido(Risc);Forma de plazo (en dies);Fp. Real;Morós
781,33;10000;60;58;0
-1157,13;3000;30;31;0
422,22;0;0;1;0
30,07;30000;30;30;0
0;0;0;15;0
368,79;3000;60;53;0
19,47;10000;85;80;0
3141,48;0;20;-22;0
25,56;25000;35;17;0
1928,35;25000;60;67;0
194,18;0;0;41;0
1622,41;0;30;50;0
1334,58;20000;0;11;0
16,94;0;0;?;0
46,61;0;0;0;0
354,03;2000;30;37;0
2751,23;10000;60;61;0
-610,02;10000;75;163;0
480,6;10000;60;64;0
13180,28;10000;35;47;0
357,28;0;0;14;0
293,14;12000;30;44;0
4060,55;0;60;83;0
1127,43;0;0;6;0
1236,92;100000;67;130;0
5597,02;0;85;89;0
433,42;0;0;27;0
65,18;15000;60;77;0
3198,33;10000;80;92;0
1826,15;10000;35;67;0
5365,28;0;60;72;0
634,34;1000;40;113;0
444,6;10000;75;?;0
26,85;15000;90;40;0
255,88;20000;60;88;0
151,04;12000;80;82;0
197,17;15000;60;66;0
364,51;0;0;33;0
786,62;30000;30;48;0
5527,68;0;30;29;0
158,79;10000;30;33;0
80,7;10000;30;1;0
28,65;20000;30;37;0
423,6;0;30;44;0
64,9;0;30;51;0
4301,8;15000;60;74;0
0;0;30;42;0
402,61;10000;70;78;0
4693,68;15000;15;125;0
309,96;0;30;30;0
1577,73;30000;118;38;0
695,47;30000;30;78;0
2979,8;12000;30;27;0
6805,15;15000;30;43;0
662,08;10000;60;64;0
2449,61;0;35;55;0
85,81;10000;30;60;0
598,85;10000;60;105;0
262,86;10000;30;63;0
1178,02;15000;60;49;0
25239,9;30000;110;101;0
274,44;12000;90;85;0
105,13;4000;30;31;0
45,73;0;15;28;0
687,03;3000;75;?;0
0;0;0;?;0
1439,54;5000;30;41;0
1157,9;0;0;2;0
2053,07;15000;60;74;0
14017,13;15000;0;19;0
1341,94;6000;50;51;0
205,23;0;0;73;0
44,44;0;0;52;0
584,08;0;0;34;0
757,1;10000;30;33;0
225,93;0;0;0;0
502,07;0;30;-2;0
1338,46;6000;60;52;0
56085,14;25000;90;127;0
867,55;10000;60;?;0
141438,49;150000;115;115;0
11053,16;22000;70;57;0
924,26;0;0;-1;0
-30,6;0;0;3;0
376,79;0;0;1;0
3168,96;0;0;?;0
1724,25;3000;55;54;0
764,59;10000;40;46;0
1883,53;10000;40;49;0
789,61;10000;70;78;0
1759,54;0;0;?;0
795,26;15000;30;-199;0
897,03;0;60;69;0
47,2;0;0;1;0
1687,4;0;0;4;0
1038,4;0;0;?;0
0;0;0;0;0
3003,94;10000;55;45;0
325,21;0;0;0;0
506,26;3000;50;1;0
56,45;0;30;51;0
99,76;0;0;1;0
14244,11;0;0;?;0
1442,84;10000;60;77;0
3879,16;3000;85;82;0
233,85;15000;60;78;0
1986,01;3000;30;19;0
4115,03;0;0;?;0
-68,25;0;30;77;0
754,81;0;30;35;0
1520,19;0;55;50;0
1782,04;15000;45;61;0
813,62;0;0;18;0
1048,68;4000;30;111;0
165,68;15000;60;60;0
277,38;0;70;62;0
4931,73;20000;85;90;0
876,92;0;50;36;0
1740,67;0;30;35;0
1042,62;0;0;27;0
1151,51;0;120;91;0
250;0;0;?;0
148,38;3000;30;35;0
1079,35;2000;80;68;0
-92,89;0;0;3;0
15870,41;5000;60;64;0
61717,42;4000;60;0;0
111,92;4000;55;39;0
6904,81;0;0;?;0
210,69;2500;30;29;0
4850;0;0;?;0
54,46;0;0;8;0
343,99;0;0;2;0
309,13;0;45;4;0
6580,73;3000;0;96;0
12603,78;0;0;0;0
287,09;0;0;0;0
3789;0;0;?;0
1651,75;0;0;0;0
489,06;0;0;?;0
66,87;0;0;0;0
704;0;30;30;0
1100,61;2000;35;3;0
-100;0;0;1;0
80,96;0;0;0;0
186,49;3000;30;?;0
236,22;1500;30;?;0
128,58;6000;30;?;0
521,25;0;0;2;0
50,03;0;0;1;0
579,09;0;0;?;0
694,82;0;30;?;0
77239,49;0;0;15;0
